"","evacuation","age","consult_info","evac_orders","expected_hh_impacts","gender","signif_evac_orders","education","multiple_concerns","risk_area","social_cues","unnecessary_evac_exp"
"595","yes",78,2.33,"mandatory",1.25,"female",4,21,1.6,"yes",2.5,3
"596","no",58,2.33,"mandatory",1,"female",1,21,1,"yes",1,1
"597","yes",70,2,"mandatory",1.5,"female",4,21,2.8,"yes",3,3
"598","no",60,3,"mandatory",1,"male",2,16,2.6,"yes",1,5
"599","yes",62,3.8,"mandatory",2.75,"male",5,12,4.6,"yes",1.5,3
"600","yes",56,2,"mandatory",4.5,"male",5,12,5,"yes",4.5,4
"601","no",52,2.5,"mandatory",2.75,"female",3,21,3.4,"yes",2,1
"602","yes",65,3.5,"mandatory",2,"male",5,12,3.6,"yes",1,5
"603","yes",77,2.83,"mandatory",2,"female",4,12,3,"yes",2,2
"604","yes",54,2.5,"mandatory",3,"male",5,21,2.6,"yes",5,5
"605","no",61,4.67,"mandatory",1.25,"female",5,16,4,"yes",4.5,5
"606","yes",68,4,"mandatory",2.5,"male",4,18,4,"yes",1,5
"607","yes",58,1.83,"mandatory",1.5,"male",4,18,3,"yes",2,4
"608","no",62,2.5,"mandatory",2.75,"male",4,21,2.8,"yes",3.5,3
"609","yes",68,2.83,"mandatory",1.25,"male",3,18,3.6,"yes",1,5
"610","yes",62,3.33,"mandatory",2.5,"female",5,16,3.8,"yes",5,4
"611","no",62,3.17,"mandatory",1,"male",1,16,3,"yes",1.5,5
"612","yes",65,2.33,"mandatory",1.75,"female",4,12,2.2,"yes",2,3
"613","yes",NA,3.67,"voluntary",1.75,"female",5,18,4.2,"no",2.5,1
"614","yes",45,2.33,"voluntary",2.75,"male",5,18,5,"no",5,5
"615","no",73,4,"voluntary",2,"male",2,21,3.6,"yes",3,3
"616","no",37,1.83,"voluntary",1.75,"male",4,18,2.4,"no",4,4
"617","yes",71,2.5,"voluntary",1.5,"male",3,16,3.4,"yes",1.5,3
"618","no",30,2,"voluntary",2,"female",4,18,3.2,"no",4,4
"619","yes",67,2.5,"voluntary",3.5,"male",4,16,2.2,"yes",2,4
"620","no",71,1.67,"voluntary",1.75,"female",5,18,4.8,"no",1,1
"621","yes",64,3.17,"voluntary",3,"male",5,16,5,"yes",5,1
"622","no",74,1,"voluntary",1,"male",2,21,5,"no",1,2
"623","no",NA,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"624","yes",52,3.17,"voluntary",NA,"female",4,18,1.6,"no",2,2
"625","yes",56,5,"voluntary",3,"female",5,18,5,"no",5,5
"626","not applicable",NA,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"627","no",58,3,"voluntary",1,"male",1,16,2.8,"no",1,4
"628","no",79,1,"voluntary",NA,"female",1,12,1,"no",1,1
"629","yes",46,3.17,"voluntary",4,"female",5,16,2.8,"yes",5,5
"630","yes",56,1.5,"voluntary",1.5,"male",5,16,2.6,"yes",2,2
"631","no",52,3.5,"voluntary",2,"female",3,16,3,"yes",1.5,3
"632","no",64,2.5,"voluntary",1.75,"female",3,21,4.2,"yes",2,5
"633","yes",65,2.5,"voluntary",1.25,"male",5,21,1.6,"yes",3,2
"634","yes",60,2.67,"voluntary",1.5,"female",5,18,3.2,"no",3.5,2
"635","no",56,1.33,"voluntary",1.25,"female",1,18,1,"yes",1,1
"636","yes",56,3.17,"voluntary",3.5,"female",4,12,3.8,"no",3.5,3
"637","yes",81,1.67,"voluntary",1,"female",2,18,2.4,"no",2,1
"638","no",68,3,"voluntary",1.25,"male",1,16,1,"no",1,1
"639","no",27,4,"voluntary",2.25,"male",1,21,1,"no",1,1
"640","yes",55,3.33,"voluntary",3.25,"female",4,18,3,"no",4,3
"641","yes",47,5,"voluntary",2,"female",4,16,2.6,"yes",1.5,1
"642","no",60,1.83,"voluntary",1.5,"female",NA,18,NA,"no",2,NA
"643","no",72,2.33,"voluntary",1.5,"female",2,21,2,"no",2,2
"644","no",46,4.17,"voluntary",1.5,"female",4,18,4.4,"no",2,5
"645","no",58,1.83,"voluntary",1.5,"female",2,16,2.2,"no",2,2
"646","no",53,2,"voluntary",1.5,"male",2,16,2.6,"no",1,1
"647","yes",60,2,"voluntary",NA,"male",NA,10,NA,"no",5,NA
"648","no",63,1.67,"voluntary",2.5,"male",2,16,3,"no",1.5,4
"649","no",59,4,"voluntary",2,"female",1,10,1,"no",1,1
"650","yes",67,3.33,"voluntary",2.5,"female",4,18,4.4,"yes",3.5,3
"651","yes",NA,3,"voluntary",3,"female",5,16,5,"no",5,3
"652","yes",54,3.5,"voluntary",4.25,"male",5,16,5,"no",5,4
"653","no",66,2.83,"voluntary",2,"male",2,16,3.6,"no",1,5
"654","no",44,4.17,"voluntary",1,"female",5,21,1.8,"no",3,1
"655","yes",60,3.67,"voluntary",3.75,"female",5,NA,5,"no",5,5
"656","yes",42,3.83,"mandatory",1.25,"female",4,18,3.2,"no",4,4
"657","yes",60,4,"mandatory",5,"female",NA,10,5,"yes",NA,NA
"658","yes",60,3.33,"mandatory",2.75,"female",3,16,3.4,"no",2.5,5
"659","yes",68,1.83,"mandatory",1.75,"male",1,18,1.6,"no",1,2
"660","yes",66,2.33,"mandatory",2.25,"male",2,18,2.8,"no",1,5
"661","yes",63,3.83,"mandatory",1.75,"male",5,16,3.8,"no",2,3
"662","yes",61,3.33,"mandatory",2,"female",5,12,2,"no",3,4
"663","yes",56,2,"mandatory",2,"female",3,12,2.25,"yes",2.5,4
"664","yes",70,3.67,"mandatory",2.5,"male",5,16,1.6,"no",2,3
"665","yes",39,5,"mandatory",2.5,"male",3,16,4,"no",5,3
"666","no",59,4.5,"mandatory",2.25,"female",4,10,4,"no",2.5,5
"667","no",50,2,"mandatory",2.75,"female",4,21,2.2,"yes",2,3
"668","no",55,2,"mandatory",2.5,"male",3,16,1.8,"no",2.5,3
"669","yes",65,1.5,"mandatory",2,"male",2,16,4.2,"no",2.5,3
"670","no",57,4,"mandatory",2.25,"female",2,18,4,"yes",2,4
"671","yes",62,3.17,"mandatory",1.5,"female",5,12,4.2,"no",5,1
"672","yes",75,2.33,"mandatory",2,"female",2,16,4.2,"yes",1.5,5
"673","yes",53,2.67,"mandatory",1.5,"male",5,18,3.2,"yes",1,1
"674","no",64,5,"mandatory",1,"female",3,12,3.2,"no",1,5
"675","yes",48,2.33,"mandatory",1.5,"female",5,16,3.6,"yes",4.5,5
"676","yes",61,2,"mandatory",2.75,"female",1,10,1,"no",1,1
"677","yes",58,3,"mandatory",2.25,"female",5,16,4,"yes",3,4
"678","yes",65,1.83,"mandatory",3.25,"female",1,16,3.8,"yes",5,1
"679","yes",67,1.83,"mandatory",1,"female",4,21,2,"no",3,1
"680","yes",63,3.17,"mandatory",3.5,"male",5,18,2,"yes",1,4
"681","no",52,4.5,"mandatory",1.75,"male",3,16,5,"no",1,5
"682","yes",59,3.33,"mandatory",1,"female",5,18,3.4,"yes",3,3
"683","yes",50,2.67,"mandatory",1.5,"female",4,16,4.2,"yes",2.5,4
"684","yes",69,2.33,"mandatory",1.75,"male",2,16,3.6,"yes",2.5,4
"685","no",82,2.83,"mandatory",2.5,"female",5,21,3,"yes",4,4
"686","yes",61,1.83,"mandatory",1.25,"male",2,21,2,"no",2,2
"687","yes",63,2.83,"mandatory",2,"female",5,18,2.8,"yes",3.5,1
"688","no",72,3.5,"mandatory",1.75,"female",5,21,2.8,"yes",4,5
"689","yes",57,4.5,"mandatory",4,"female",5,18,4.8,"no",2.5,1
"690","no",59,2.17,"mandatory",1.25,"male",1,16,3.6,"no",2,5
"691","yes",65,2.33,"mandatory",2.5,"female",5,NA,4.2,"yes",4.5,2
"692","no",57,2,"mandatory",2,"male",3,18,2.6,"no",3,3
"693","yes",58,4,"mandatory",4.25,"female",5,16,2.4,"no",1.5,5
"694","yes",NA,3.5,"mandatory",3,"male",5,10,4.2,"no",5,1
"695","yes",77,5,"mandatory",3,"female",NA,21,NA,"no",3.5,NA
"696","no",50,3,"mandatory",1.67,"male",1,16,1.2,"yes",1,1
"697","yes",60,4.17,"mandatory",5,"female",5,18,3,"no",5,5
"698","yes",63,4,"mandatory",3,"male",5,16,4.2,"no",5,1
"699","yes",53,3.67,"mandatory",1,"female",1,18,1,"no",1,1
"700","no",71,1.33,"mandatory",1.25,"male",2,12,3,"yes",2,3
"701","no",79,5,"voluntary",1.75,"female",3,10,3.4,"no",2,5
"702","yes",31,2.83,"voluntary",2.75,"female",4,18,3.2,"yes",4.5,1
"703","no",63,3.17,"voluntary",1,"male",3,21,2.8,"yes",3.5,5
"704","no",50,5,"voluntary",2.75,"female",2,12,3,"yes",2,3
"705","no",80,2.33,"voluntary",1.25,"female",1,16,1,"yes",1,1
"706","no",67,4.33,"voluntary",5,"female",5,10,5,"yes",5,5
"707","not applicable",63,2.17,"voluntary",2.75,"male",NA,21,NA,"yes",NA,NA
"708","not applicable",NA,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"709","yes",53,3.4,"voluntary",3.5,"female",4,18,3.8,"yes",3.5,4
"710","no",80,3,"voluntary",1.5,"female",1,16,1.2,"yes",1,1
"711","no",47,4,"voluntary",3.75,"female",4,18,4,"yes",2.5,3
"712","yes",73,2.67,"voluntary",2,"male",1,21,3,"yes",1,5
"713","no",71,1.5,"voluntary",1.25,"female",5,18,1.8,"yes",1,5
"714","no",70,1.33,"voluntary",2,"female",3,16,3,"yes",3,3
"715","yes",84,NA,"voluntary",NA,"female",NA,18,NA,"yes",NA,NA
"716","no",60,5,"voluntary",1.5,"male",2,12,4,"yes",1,5
"717","yes",63,5,"voluntary",3.75,"female",5,10,4.8,"no",5,4
"718","no",70,1.67,"voluntary",2.25,"female",1,18,1.8,"yes",1,1
"719","yes",72,2.83,"voluntary",4,"female",4,16,4.4,"yes",4,3
"720","yes",58,3.83,"voluntary",3,"female",4,18,2.6,"yes",1,1
"721","no",64,5,"voluntary",5,NA,NA,10,5,"yes",NA,NA
"722","no",70,5,"voluntary",1.25,"female",1,21,4.8,"yes",1,5
"723","no",58,3,"voluntary",NA,"male",NA,12,NA,"yes",NA,NA
"724","no",67,2,"voluntary",2.25,"male",1,12,3.6,"yes",2,1
"725","no",44,4,"voluntary",3,"female",1,16,1,"yes",1,1
"726","yes",44,2.67,"voluntary",4.5,"female",5,21,1.2,"yes",3.5,1
"727","yes",71,2,"voluntary",3.75,"female",5,16,4.6,"yes",4.5,5
"728","no",74,2.33,"voluntary",1.75,"female",1,16,3.8,"yes",1,1
"729","yes",55,3.6,"voluntary",2,"male",4,12,3.4,"yes",2,3
"730","no",43,1.33,"mandatory",2,"male",2,16,2.6,"no",2,1
"731","no",39,1.5,"voluntary",1,"male",1,21,1,"yes",1,5
"732","yes",53,3,"voluntary",3,"female",3,16,4.2,"yes",3,4
"733","yes",68,2.83,"voluntary",2.5,"male",4,21,3.4,"yes",3.5,3
"734","not applicable",NA,NA,"voluntary",NA,NA,NA,NA,NA,"yes",NA,NA
"735","no",62,2.33,"voluntary",1.25,"male",1,16,2.8,"yes",1,5
"736","yes",66,3.33,"voluntary",3.25,"female",4,16,2.6,"yes",4,3
"737","yes",65,2.8,"voluntary",4.25,"female",5,16,5,"yes",5,2
"738","yes",29,2.83,"voluntary",2.5,"male",5,21,1.4,"yes",3,1
"739","no",56,4.67,"voluntary",1.25,"male",3,16,4.2,"yes",1,1
"740","yes",28,4.67,"voluntary",4,"female",5,16,5,"yes",5,4
"741","yes",53,2.33,"voluntary",3.75,"male",1,18,2.2,"yes",1,5
"742","no",51,2.17,"voluntary",2,"male",5,21,3.4,"yes",1,1
"743","yes",75,1.67,"voluntary",2.5,"male",4,21,3.6,"yes",2,4
"744","yes",35,2.5,"voluntary",3,"male",5,16,4.8,"yes",3.5,5
"745","no",56,5,"voluntary",1.5,"female",5,18,5,"yes",5,3
"746","yes",82,1.67,"voluntary",1.75,"male",3,12,1.2,"yes",1,3
"747","no",70,2.5,"voluntary",1.25,"male",3,16,2.4,"yes",2,2
"748","no",66,2.83,"voluntary",1,"male",1,16,3.4,"yes",1,2
"749","no",NA,NA,"voluntary",NA,NA,NA,NA,NA,"yes",NA,NA
"750","yes",73,1.83,"voluntary",2.33,"male",1,21,1.8,"yes",1,5
"751","not applicable",NA,NA,"voluntary",NA,NA,NA,NA,NA,"yes",NA,NA
"752","no",61,1.83,"voluntary",NA,"female",3,18,3.4,"yes",1,3
"753","yes",47,5,"voluntary",3.5,"female",NA,18,3.8,"yes",5,NA
"754","no",36,2.67,"voluntary",2.5,"female",3,18,3.6,"yes",3,1
"755","yes",70,1.83,"mandatory",2.5,"male",3,21,2.6,"yes",1,3
"756","no",57,2.5,"voluntary",3,"female",3,21,3.6,"yes",3,4
"757","yes",62,3.17,"voluntary",3.25,"female",5,18,4.6,"yes",5,2
"758","no",NA,5,"mandatory",3,"female",5,10,3,"yes",3,1
"759","no",54,1.83,"voluntary",4,"female",5,18,5,"yes",5,5
"760","no",62,2.83,"voluntary",1,"male",1,18,3.4,"yes",2,4
"761","no",70,5,"voluntary",2.5,"female",NA,16,4.2,"yes",2.5,3
"762","no",56,1.67,"voluntary",1.5,"male",1,18,3.4,"no",1,2
"763","no",58,2,"voluntary",1,"male",3,18,2.6,"yes",3,3
"764","no",64,2.83,"voluntary",1.5,"female",1,16,1.6,"yes",1,4
"765","yes",60,3.17,"voluntary",3.5,"male",4,16,4,"yes",2.5,4
"766","no",77,2.83,"voluntary",2,"male",4,21,4.4,"no",4,2
"767","no",67,3.5,"voluntary",1.75,"male",2,18,4,"yes",2,4
"768","no",68,2,"voluntary",3,"male",NA,16,NA,"yes",NA,NA
"769","no",65,3,"voluntary",2.5,"female",1,21,2,"yes",2.5,5
"770","no",58,3.33,"voluntary",1.75,"male",2,18,1.2,"yes",2,1
"771","yes",53,2.33,"mandatory",2,"male",5,21,1.4,"no",2,1
"772","no",48,1.33,"mandatory",1.25,"female",1,16,3.8,"yes",1.5,1
"773","yes",89,3.17,"mandatory",2.25,"female",5,16,2,"no",4,4
"774","no",57,2,"mandatory",2.5,"male",1,12,4.6,"no",1,4
"775","no",78,4.17,"mandatory",2,"female",4,16,3.6,"no",3,3
"776","no",54,2.33,"mandatory",2.5,"female",1,16,1.6,"no",1,1
"777","yes",69,4.83,"mandatory",2.25,"female",3,16,3,"yes",2.5,1
"778","yes",44,2.83,"mandatory",5,"female",5,16,1.2,"no",3.5,4
"779","yes",33,5,"mandatory",2,"female",5,12,2.2,"no",2.5,2
"780","yes",51,3.33,"mandatory",3,"female",4,21,1.8,"no",1.5,4
"781","yes",38,3.67,"mandatory",5,"female",5,12,5,"no",5,5
"782","yes",28,5,"mandatory",5,"female",5,12,5,"no",5,3
"783","yes",69,3,"mandatory",2.25,"male",4,21,3,"no",2,3
"784","no",59,1,"mandatory",1,"female",2,12,2,"no",1,1
"785","no",64,2.83,"mandatory",1.25,"male",3,21,4.6,"no",2.5,4
"786","no",58,1,"mandatory",1,"female",1,12,1,"no",1,1
"787","yes",90,2.67,"mandatory",1,"female",2,16,1.2,"no",2,1
"788","yes",63,4.5,"mandatory",2.25,"female",3,12,1,"yes",1,1
"789","no",88,NA,"mandatory",1,"female",NA,16,NA,"no",2,NA
"790","yes",75,1.33,"mandatory",2,"female",1,10,1,"no",1,1
"791","yes",53,1.33,"mandatory",2.25,"male",5,18,2.4,"yes",3.5,2
"792","yes",71,2.67,"mandatory",1,"male",5,21,3.6,"no",4,3
"793","no",78,2,"mandatory",NA,"male",NA,16,NA,"no",NA,NA
"794","yes",69,1.33,"mandatory",2,"female",5,18,1.2,"no",5,3
"795","no",65,2.33,"mandatory",3.5,"male",1,NA,1.6,"no",1,4
"796","yes",83,1.5,"mandatory",1,"male",1,10,1,"no",1,1
"797","yes",70,3,"mandatory",1,"female",3,21,1,"yes",1.5,1
"798","no",78,1.83,"mandatory",1.25,"male",1,18,3.2,"no",1.5,1
"799","no",56,4.5,"mandatory",1,"female",2,16,1,"no",2,1
"800","no",77,4,"mandatory",2.25,"male",3,18,2.4,"no",1,3
"801","not applicable",62,2.5,"mandatory",2,"female",1,12,1,"no",1,1
"802","no",54,1.83,"mandatory",1.5,"female",2,18,3,"no",2,4
"803","yes",48,2,"mandatory",2.75,"female",5,18,5,"no",5,1
"804","yes",67,1.5,"mandatory",1.5,"female",2,21,3.4,"yes",1,2
"805","yes",52,3.33,"mandatory",4.5,"female",4,18,2.8,"no",2.5,5
"806","no",52,5,"mandatory",1,"female",5,18,4.6,"no",5,5
"807","no",78,2.33,"mandatory",1.75,"male",1,18,1,"yes",1,1
"808","no",63,2.17,"mandatory",1.75,"female",4,16,4,"no",1.5,5
"809","yes",62,3.33,"mandatory",3.5,"female",5,10,5,"no",5,5
"810","yes",69,3.5,"mandatory",3,"female",4,12,3,"no",3.5,3
"811","yes",70,4.17,"mandatory",3.75,"female",4,18,4.6,"no",3,3
"812","yes",70,2.67,"mandatory",2,"female",4,18,4.2,"no",3,3
"813","no",54,3.33,"mandatory",1.75,"female",2,18,3.6,"no",2,4
"814","no",67,2.67,"mandatory",1.5,"male",2,16,2.6,"no",2,5
"815","no",51,3.17,"mandatory",1.25,"female",4,21,2.2,"no",2.5,4
"816","yes",35,4,"mandatory",1.5,"male",4,21,3.8,"no",2.5,4
"817","yes",70,2.67,"mandatory",1.75,"male",2,18,2.4,"no",1.5,5
"818","no",62,1.33,"mandatory",1,"female",3,18,2.2,"no",3,3
"819","no",54,2.5,"mandatory",1.5,"female",NA,12,1,"no",NA,NA
"820","yes",73,2.6,"mandatory",1.5,"female",4,12,3.6,"no",4,4
"821","no",33,4,"mandatory",2.25,"female",5,18,2.2,"no",3.5,1
"822","no",77,2.17,"mandatory",2,"male",1,10,1.4,"no",1,4
"823","no",73,3.5,"mandatory",2,"female",4,12,4,"no",2,4
"824","no",71,5,"mandatory",1,"female",1,12,3.4,"no",1,5
"825","no",81,2.83,"mandatory",1,"male",1,18,1.8,"no",1,1
"826","no",68,1,"mandatory",2,"male",5,21,3,"yes",5,5
"827","no",50,2.33,"mandatory",1.5,"male",1,16,1,"no",1,1
"828","yes",73,4,"mandatory",4,"female",5,16,3.8,"no",4,3
"829","no",77,2.33,"mandatory",NA,"male",1,16,1,"yes",1,1
"830","no",56,3.17,"mandatory",1,"female",1,16,2.2,"no",1,1
"831","yes",49,2.33,"mandatory",2,"female",4,12,2,"yes",4,2
"832","yes",55,3.33,"mandatory",2.5,"female",4,18,4.6,"yes",3,5
"833","no",57,2.67,"mandatory",2.25,"female",4,16,3.2,"yes",2,1
"834","yes",81,3,"mandatory",1,"male",3,18,3.8,"no",1,4
"835","yes",55,3,"mandatory",2.5,"female",3,12,3,"yes",3,3
"836","yes",52,4.67,"mandatory",3,"female",4,18,3.6,"yes",4,1
"837","no",51,3,"mandatory",2.75,"male",2,18,1,"yes",2,1
"838","no",60,2.17,"mandatory",2,"female",5,18,3.4,"yes",2.5,1
"839","yes",48,3.67,"mandatory",3,"female",5,18,2.4,"yes",5,1
"840","yes",69,1.83,"mandatory",1.5,"male",4,21,3.2,"yes",2.5,3
"841","no",56,2.33,"mandatory",1.25,"female",1,21,1.8,"no",1,1
"842","no",68,3.5,"mandatory",1,"female",1,18,2.6,"yes",1,5
"843","yes",49,3.5,"mandatory",2,"male",5,21,1.8,"yes",1,1
"844","yes",68,3.8,"mandatory",4.5,"female",5,16,4.2,"yes",5,4
"845","no",56,2.5,"mandatory",5,"female",5,16,5,"no",5,5
"846","yes",52,3.33,"mandatory",2.25,"male",5,16,2.6,"yes",4.5,1
"847","yes",40,3,"mandatory",2.5,"female",4,18,3.4,"yes",3,2
"848","yes",72,1.5,"mandatory",1.25,"male",3,18,1.2,"no",2,3
"849","yes",47,2.67,"mandatory",2.75,"female",5,NA,3.2,"yes",4.5,NA
"850",NA,NA,2,"mandatory",NA,NA,NA,NA,NA,"no",NA,NA
"851","yes",77,2.67,"mandatory",1.67,"female",4,18,2.8,"yes",3,2
"852","yes",62,3,"mandatory",2.25,"male",3,16,4,"yes",1.5,5
"853","no",27,2.4,"mandatory",2.25,"female",3,18,4,"yes",3,1
"854","yes",42,1.17,"mandatory",1,"female",1,21,1,"yes",1,1
"855","yes",NA,2.5,"mandatory",2.25,"male",5,18,1.4,"yes",2,1
"856","yes",62,2,"mandatory",5,"female",NA,10,5,"no",NA,NA
"857","yes",64,1.67,"mandatory",2.75,"male",4,12,4.6,"yes",4,3
"858","yes",79,3,"mandatory",1.5,"male",3,16,1.8,"yes",3,2
"859","yes",71,2.5,"mandatory",3.25,"female",5,16,4.8,"no",4.5,5
"860","yes",52,3.33,"mandatory",2.5,"male",2,18,3.4,"yes",1,1
"861","yes",66,3.67,"mandatory",1.5,"female",4,21,2.8,"yes",4,1
"862","yes",44,2.17,"mandatory",2.75,"female",5,21,1.6,"yes",2.5,1
"863","no",73,2.17,"mandatory",1,"female",1,21,1,"no",1,1
"864","no",69,3.67,"voluntary",2.25,"female",3,16,1.6,"no",NA,NA
"865","yes",64,2.33,"voluntary",4,"female",5,12,5,"yes",1,1
"866","no",47,2.67,"voluntary",1,"female",1,16,4.6,"no",1,5
"867","yes",38,NA,"voluntary",5,"female",5,12,5,"no",5,NA
"868","no",67,3.33,"voluntary",1.25,"female",1,21,2.2,"no",2.5,5
"869","yes",43,4,"voluntary",4.5,"female",5,12,2.2,"no",5,5
"870","yes",61,4.17,"voluntary",3.5,"male",5,NA,5,"yes",4.5,5
"871","yes",46,4.4,"voluntary",2.25,"female",5,12,2,"no",4.5,2
"872","no",67,3.17,"voluntary",3,"male",1,12,2.6,"no",1,1
"873","no",52,3.67,"voluntary",3.25,"male",1,12,3.2,"no",1,3
"874","no",60,2.17,"voluntary",1,"female",1,16,1.6,"no",1,1
"875","no",53,2.67,"voluntary",2.25,"male",5,16,3.6,"no",2,1
"876","no",36,3.17,"voluntary",1.25,"female",4,18,2.8,"yes",2,1
"877","no",48,3.83,"voluntary",2,"male",4,18,2.6,"no",2.5,3
"878","no",57,1,"voluntary",1.75,"male",2,12,1,"no",1,1
"879","yes",49,3.33,"voluntary",2.5,"female",4,21,5,"no",5,5
"880","no",59,2.83,"voluntary",2,"male",3,16,3.2,"no",2.5,2
"881","yes",61,2.83,"voluntary",3.5,NA,5,21,3.2,"no",5,1
"882","yes",70,1.5,"voluntary",2.25,"male",3,NA,1.8,"no",2,3
"883","no",56,3.67,"voluntary",1.25,"male",2,16,1.8,"no",1.5,1
"884","no",65,3.75,"voluntary",2,"female",3,16,3.8,"no",3,3
"885","no",61,1.33,"voluntary",2,"male",1,21,5,"yes",1,1
"886","no",60,2,"voluntary",2.75,"female",4,18,3.8,"yes",2,3
"887","no",80,3,"voluntary",1.5,"female",5,10,1,"no",5,1
"888","yes",43,3.67,"voluntary",2,"female",4,21,2.8,"no",3,5
"889","no",74,2.33,"voluntary",1.75,"female",3,21,2.8,"no",1,1
"890","yes",60,2.83,"voluntary",2.5,"female",4,12,4.8,"yes",4,1
"891","no",60,1.17,"voluntary",3,"female",1,16,4.4,"no",1,3
"892","no",83,2.33,"voluntary",1,"female",1,18,1.8,"no",1,1
"893","no",71,3.4,"voluntary",1.25,"male",NA,21,3.4,"no",NA,NA
"894","not applicable",NA,NA,"voluntary",NA,NA,NA,NA,NA,"no",NA,NA
"895","no",65,3.67,"voluntary",1.75,"female",1,21,3.6,"no",1,5
"896","yes",37,2.6,"voluntary",2.25,"female",5,16,2.4,"no",2,2
"897","yes",70,2.17,"voluntary",1,"female",5,12,1,"no",3.5,1
"898","no",86,4.25,"voluntary",1,"female",2,16,1.6,"no",1.5,1
"899","yes",81,1.33,"voluntary",1.5,"male",NA,21,2.4,"no",2,4
"900","yes",73,2.67,"voluntary",1.25,"male",4,21,3.2,"no",3,5
"901","yes",51,2.67,"voluntary",4,"female",5,16,2.2,"no",5,5
"902","yes",84,2,"voluntary",3,"female",NA,16,3,"no",4,NA
"903","yes",68,1.17,"voluntary",3,"male",3,16,1,"no",1,3
"904","no",60,3,"voluntary",2.5,"female",1,16,1.8,"no",1,1
"905","yes",64,2.67,"voluntary",1,"male",3,18,4.8,"no",1.5,1
"906","no",75,3.17,"voluntary",1.75,"male",3,16,4.2,"no",3,5
"907","yes",NA,2.5,"voluntary",2,"male",4,21,1.4,"no",1,1
