"","evacuation","age","consult_info","evac_orders","expected_hh_impacts","gender","signif_evac_orders","education","multiple_concerns","risk_area","social_cues","unnecessary_evac_exp"
"328","yes",47,4.33,"mandatory",2.5,"female",4,16,3.2,"no",3,2
"329","no",79,5,"mandatory",2,"male",4,12,4,"no",NA,NA
"330","yes",61,2.33,"mandatory",2,"male",5,18,3.2,"no",5,3
"331","no",38,4,"mandatory",1,"female",3,16,5,"no",2.5,5
"332","yes",39,2,"mandatory",3,"male",3,12,3.8,"no",1.5,3
"333","yes",NA,2.17,"mandatory",2.5,"female",NA,21,3.4,"yes",2,4
"334","yes",52,3.33,"mandatory",3.5,"female",1,21,2.4,"yes",1,5
"335","not applicable",74,2.67,"mandatory",2,"male",NA,18,NA,"no",NA,NA
"336","yes",68,2.83,"mandatory",1.5,"female",2,21,1.4,"yes",1,1
"337","no",41,2.17,"mandatory",1.5,"female",3,16,3.8,"no",3,5
"338","yes",52,3.33,"mandatory",3.5,"female",5,16,3,"no",2.5,5
"339","no",56,4,"mandatory",1.5,"female",2,16,4.2,"yes",2,3
"340","yes",59,2.17,"mandatory",2.5,"male",5,16,4,"yes",3,2
"341","not applicable",79,NA,"mandatory",NA,"male",NA,18,NA,"yes",NA,NA
"342","no",63,5,"mandatory",1.5,"male",1,16,1,"yes",1,1
"343","yes",54,2,"mandatory",2.25,"male",3,16,2.2,"yes",2,3
"344","yes",66,3,"mandatory",1.75,"female",1,18,2.2,"no",1,1
"345","no",51,4.17,"mandatory",3.75,"female",3,16,3.4,"no",2,2
"346","yes",67,3.17,"mandatory",3,"female",4,16,4,"no",4.5,5
"347","no",63,3.5,"mandatory",1.75,"male",5,21,2.4,"no",3,2
"348","no",67,2.6,"mandatory",1,"male",2,18,4.8,"no",1,1
"349","no",61,3.33,"mandatory",1.25,"male",2,16,4.4,"no",2,3
"350","yes",53,3,"mandatory",3.25,"female",4,12,3.6,"yes",4,5
"351","yes",42,1.67,"mandatory",2.25,"female",5,18,3.2,"no",4,3
"352","no",51,2.33,"mandatory",4.75,"male",2,16,4,"no",1.5,1
"353","no",34,2,"mandatory",1.75,"female",NA,18,4.4,"no",1,1
"354","yes",76,3,"mandatory",1.5,"male",4,21,1.2,"no",1.5,3
"355","yes",57,3.67,"mandatory",3.25,"male",5,12,2.6,"no",5,5
"356","yes",79,2.33,"mandatory",2.5,"male",3,18,1,"yes",1,3
"357","yes",67,3.83,"mandatory",2.25,"female",5,16,2.6,"no",2,2
"358","yes",87,1.67,"mandatory",1.75,"female",1,21,1,"yes",3,1
