"","age","education","evac_orders","evacuation","gender","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q10","Q11","Q12a_1","Q12b_1","Q13a_1","Q13b_1","Q14_1","Q14_10","Q14_11","Q14_12","Q14_13","Q14_14","Q14_15","Q14_16","Q14_17","Q14_18","Q14_19","Q14_2","Q14_20","Q14_21","Q14_22","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q18_1","Q18_10","Q18_11","Q18_12","Q18_13","Q18_14","Q18_15","Q18_16","Q18_17","Q18_18","Q18_19","Q18_2","Q18_20","Q18_21","Q18_22","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q19","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27_1","Q27_2","Q27_3","Q27_4","Q28_1","Q28_2","Q29","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q30","Q31","Q32_1","Q32_2","Q33","Q34","Q35_1","Q35_2","Q35_3","Q36","Q37","Q38","Q39","Q4_1","Q4_10","Q4_11","Q4_12","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q40","Q41","Q5","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","risk_area"
"1",54,12,"mandatory","yes","female",1,4,3,1,1,2,1,NA,4,14,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,1,2,5,2,"2","0",NA,"Franklin, TX",2,1,1,1,1,1,1,1,2,2,5,1,1,1,2,4,5,5,1,3,3,2,"54",1,"1","1","",2,2,2,1,1,1,1,1,1,5,1,1,1,1,1,1,2,5,2,2,2,2,5,1,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"2",55,21,"voluntary","yes",NA,NA,NA,5,NA,NA,NA,0,1,4,22,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,NA,NA,4,4,"2","1",NA,"N/A",1,4,1,NA,NA,NA,NA,NA,NA,2,NA,5,1,1,4,1,1,5,2,1,1,1,"55",1,"2","2","",5,8,NA,1,1,1,1,4,1,1,4,2,1,4,4,1,2,4,2,1,1,1,6,6,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"3",66,18,"mandatory","yes","female",NA,NA,NA,3,NA,3,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",3,NA,NA,NA,NA,"1","0",NA,"Kerrville",2,2,1,1,1,1,0,1,2,2,5,5,2,4,4,4,NA,5,1,3,2,1,"66",4,"","","1",4,1,2,1,NA,1,1,1,5,5,5,1,1,1,1,1,2,4,2,1,1,6,6,3,3,5,NA,1,1,0,0,1,0,1,0,"yes"
"4",87,21,"mandatory","yes","male",2,3,1,3,NA,3,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1",5,5,5,1,2,"1","0",NA,"San Antonio",1,3,1,1,0,0,0,1,1,2,5,3,2,1,3,2,5,5,1,1,3,2,"87",4,"","","1",5,8,1,1,1,1,2,5,3,4,5,5,2,2,5,1,2,5,2,1,1,1,5,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"5",61,12,"mandatory","no","female",2,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1,1,1,1,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,1,5,1,3,3,2,"61",1,"","2","1",2,1,2,4,NA,1,5,5,4,5,5,5,5,5,5,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"6",45,18,"mandatory","yes","female",1,2,5,5,5,5,1,NA,4,17,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,5,5,5,5,"4","0",NA,"Hondo, Texas",2,1,1,1,1,1,1,1,2,2,4,3,2,1,2,2,2,5,1,1,2,1,"45",1,"2","2","0",4,8,2,1,1,1,1,2,1,5,5,5,5,2,3,1,2,5,2,1,1,6,6,6,6,2,2,1,0,0,0,1,0,1,0,"yes"
"7",68,16,"mandatory","yes","female",2,4,4,3,1,5,1,NA,4,20,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,3,4,5,4,"2","0",NA,"Los Fresnos/Indian Lake",2,4,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,3,2,"68",2,"","1","2",3,2,2,1,4,5,5,5,3,3,4,1,3,4,2,4,2,5,2,1,1,1,6,1,6,6,2,1,0,0,0,0,0,0,1,"yes"
"8",76,18,"mandatory","yes","male",2,5,5,5,5,5,1,NA,4,16,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,5,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,5,5,5,"2","0",NA,"Utopia, TX",2,1,1,1,1,0,0,1,1,2,5,5,1,1,3,3,1,5,1,1,3,1,"76",1,"","","2",4,8,1,1,3,1,1,3,4,5,5,5,3,3,3,1,2,4,2,1,1,1,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"9",67,18,"mandatory","yes","male",1,2,5,5,5,3,1,NA,4,17,NA,NA,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,5,1,5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,1,1,3,3,"2","0",NA,"Jonestown, TX",2,1,1,1,1,0,0,1,2,2,4,5,2,2,3,1,5,5,2,3,3,2,"67",1,"","1","1",4,8,1,1,1,1,5,5,4,5,5,4,1,3,5,1,2,4,2,1,1,2,6,6,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"10",68,18,"mandatory","no","male",2,5,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,1,1,4,4,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,1,2,1,2,5,1,1,3,3,"68",1,"","","2",4,5,1,1,2,1,2,4,3,3,4,4,4,5,3,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"11",80,18,"voluntary","yes","male",1,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,NA,NA,NA,5,"2","1",NA,"Kingsville & Weslaco, TX",3,2,1,1,1,1,0,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"80",1,"","","2",4,NA,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,4,2,NA,6,NA,NA,6,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"12",64,16,"mandatory","yes","female",1,2,2,1,1,1,1,NA,1,12,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,NA,NA,2,2,"1","0",NA,"San Antonia, TX",2,1,1,1,1,0,0,NA,NA,2,5,5,1,1,2,5,1,5,1,3,3,2,"64",2,"","1","",3,1,2,1,1,1,2,5,5,5,5,1,NA,1,1,1,2,5,2,1,1,1,4,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"13",72,18,"mandatory","no","male",NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,3,NA,2,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,2,1,NA,5,1,1,3,1,"72",1,"","1","1",4,7,1,1,NA,NA,NA,NA,NA,4,5,2,NA,1,4,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"14",70,16,"mandatory","yes","male",2,3,3,3,3,2,1,NA,4,18,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,5,5,5,5,"3","1",NA,"Smiley, TX",2,1,1,1,1,0,0,1,2,2,3,3,3,3,3,3,3,3,1,1,2,1,"70",1,"","","2",3,8,1,1,3,1,1,3,3,3,4,3,2,1,2,1,2,4,2,1,1,3,4,6,6,6,2,1,0,0,0,0,0,0,0,"yes"
"15",NA,NA,"mandatory","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"16",56,18,"mandatory","yes","male",1,5,5,5,1,3,1,NA,4,7,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,3,5,5,"3","0",NA,"SPRING BRANCH TX",2,4,1,1,1,1,1,1,1,2,3,4,3,1,3,4,1,4,1,1,3,1,"56",1,"","2","",4,8,1,1,4,1,1,2,4,4,4,1,1,1,1,2,2,4,2,1,1,1,1,5,3,1,2,1,0,0,0,0,1,0,1,"yes"
"17",54,12,"mandatory","yes","male",1,4,4,1,1,4,1,NA,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",5,1,1,3,3,"3","0",1,"Catisville",1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,1,2,3,2,"54",1,"","2","",2,2,1,1,5,5,3,3,5,5,5,3,3,5,5,5,2,5,2,6,2,5,5,6,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"18",73,12,"mandatory","yes","female",5,5,5,5,5,5,0,1,1,12,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,1,5,NA,5,"1","0",NA,"Somerville, TX",2,1,1,1,1,1,1,1,1,1,5,5,2,5,5,5,3,5,1,1,3,3,"73",2,"","","1",2,1,2,1,4,1,1,3,4,5,4,2,2,3,5,5,1,4,2,5,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"19",73,18,"mandatory","not applicable","female",1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,2,2,2,2,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,4,NA,NA,NA,NA,"73",1,"","","2",4,8,2,1,2,1,2,4,2,5,2,2,3,3,3,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"20",83,16,"mandatory","yes","male",1,5,5,3,1,4,1,NA,3,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",3,3,3,3,3,"1","0",NA,"San Antonio",3,2,1,0,1,1,0,1,1,NA,2,4,2,2,2,3,1,5,1,1,3,1,"83",1,"","","2",3,8,1,1,1,1,5,5,4,4,4,3,1,2,5,2,2,4,NA,1,1,6,6,6,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"21",62,18,"mandatory","yes","male",5,5,5,5,5,5,1,NA,4,18,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,5,5,4,4,"2","0",NA,"Jourdanton, TX",2,1,1,1,1,0,0,1,1,2,4,3,2,2,3,4,4,5,1,1,3,1,"62",1,"","2","",4,7,1,1,3,3,3,4,4,5,5,5,3,3,3,4,2,5,2,6,6,6,6,6,6,6,2,0,0,0,0,0,0,1,1,"yes"
"22",60,16,"mandatory","no","male",1,5,5,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1,1,4,4,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,5,5,1,1,3,3,"60",1,"","1","",3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"23",83,21,"voluntary","yes","male",1,3,3,2,1,1,1,NA,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2,1,1,3,1,"1","0",NA,"Austin, TX",1,1,1,0,0,1,0,1,1,2,5,5,1,1,1,1,1,5,1,2,3,3,"83",4,"","","1",5,5,1,1,2,1,2,2,3,3,3,5,3,1,1,1,2,5,2,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"24",71,16,"mandatory","yes","male",NA,4,4,NA,NA,NA,1,NA,4,13,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,5,5,1,5,"2","2",NA,"Pleasanton",2,1,1,1,1,1,0,1,1,2,5,5,4,5,5,5,5,5,1,3,3,1,"71",1,"","","2",3,3,1,1,1,1,4,5,1,5,5,5,1,3,3,5,2,4,2,6,1,1,6,3,3,3,2,1,0,0,0,1,0,0,0,"yes"
"25",65,18,"mandatory","yes","male",1,2,4,2,1,5,0,2,4,17,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,1,1,4,5,"4","0",NA,"New Braunfels",2,1,1,1,0,0,0,1,2,2,4,5,1,1,4,1,1,5,1,1,3,3,"65",1,"2","","",4,4,1,1,1,4,1,1,1,1,1,5,1,1,1,1,2,4,2,2,2,4,4,2,3,3,2,1,1,0,0,0,0,0,0,"yes"
"26",58,12,"mandatory","yes","female",2,4,5,2,2,4,1,NA,3,9,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",5,3,4,5,5,"1","0",1,"San Antonio",1,2,1,1,1,1,0,2,2,1,4,5,5,5,5,5,5,5,1,2,2,2,"58",1,"","2","",2,1,2,1,4,5,2,5,5,5,4,4,5,5,5,NA,1,5,2,1,1,2,2,3,2,2,2,1,1,1,1,1,1,0,0,"yes"
"27",85,18,"mandatory","yes","female",1,4,2,1,1,3,1,NA,4,18,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,5,5,5,"1","0",NA,"Dallas, TX",2,1,1,NA,NA,NA,NA,1,1,2,5,5,4,4,4,5,1,5,1,2,3,3,"85",1,"","","1",4,NA,2,1,1,1,1,3,1,5,4,1,1,5,5,1,2,5,2,1,1,6,6,6,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"28",80,21,"mandatory","yes","female",3,2,2,1,1,3,1,NA,4,14,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,2,3,4,5,"2","0",NA,"Waco, TX",1,1,1,1,0,0,0,2,1,2,1,3,1,1,3,5,1,3,2,1,3,3,"80",1,"","","2",5,3,2,1,2,1,2,2,5,2,5,1,1,3,4,1,2,4,2,1,1,1,3,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"29",63,16,"mandatory","yes","male",1,1,1,1,1,3,1,NA,3,12,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",3,3,3,3,3,"2","0",NA,"Wimberley, TX",1,1,1,0,1,1,1,1,1,2,4,NA,3,5,NA,4,4,5,1,1,3,3,"63",1,"","2","1",3,2,1,1,3,3,3,4,4,3,4,NA,4,2,4,3,2,4,2,1,1,5,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"30",59,16,"mandatory","no","male",2,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,5,5,5,5,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,3,2,4,2,5,5,1,3,3,2,"59",3,"","2","",3,NA,1,5,3,5,5,5,3,3,3,5,5,5,5,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"31",67,18,"mandatory","no","male",1,3,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,5,5,5,4,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,2,1,5,1,1,3,3,"67",3,"0","0","1",4,6,1,1,2,1,2,4,2,2,3,3,1,4,5,3,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"32",NA,NA,"voluntary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"33",56,12,"mandatory","no","female",NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,4,4,5,4,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,2,2,3,3,3,5,1,1,3,1,"56",1,"","1","1",2,8,2,1,4,1,1,4,4,3,3,3,1,1,1,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"34",63,10,"mandatory","yes","male",2,4,3,3,1,2,1,NA,5,14,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,5,2,5,3,"","0",NA,"Austin",3,1,1,1,1,1,1,1,2,2,3,3,1,1,2,4,3,5,1,1,3,3,"63",1,"","2","",1,4,1,1,1,2,2,2,1,3,5,1,1,5,5,NA,2,4,2,5,1,2,4,6,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"35",41,21,"mandatory","yes","female",1,1,1,1,1,1,1,NA,4,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5,4,4,5,5,"3","0",NA,"Shiner, TX",2,2,1,1,1,1,0,1,1,2,3,3,2,1,3,2,3,5,1,1,3,3,"41",1,"4","","",5,8,2,3,5,1,1,3,5,5,5,2,3,1,2,2,2,5,2,6,2,5,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
